75 113 (17, (1, 1, 1, 2, 1, 2, 4)) [(0, 'C'), ('x', 'D'), ('+', 'E'), ('+', 'F'), ('', 'G'), ('', 'A'), ('-', 'B')]
75 114 (17, (1, 1, 1, 2, 1, 2, 4)) [(0, 'C'), ('', 'D'), ('x', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('', 'B')]
75 115 (17, (1, 1, 1, 2, 1, 2, 4)) [(0, 'C'), ('-', 'D'), ('-', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('-', 'B')]
75 116 (17, (1, 1, 1, 2, 1, 2, 4)) [(0, 'C'), ('', 'D'), ('-', 'E'), ('', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 117 (17, (1, 1, 1, 2, 1, 2, 4)) [(0, 'C'), ('-', 'D'), ('-', 'E'), ('-', 'F'), ('-', 'G'), ('+', 'A'), ('', 'B')]
75 118 (17, (1, 1, 1, 2, 1, 2, 4)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('-', 'F'), ('o', 'G'), ('o', 'A'), ('', 'B')]
75 119 (18, (1, 1, 1, 2, 1, 3, 3)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('o', 'G'), ('*', 'A'), ('o', 'B')]
75 120 (18, (1, 1, 1, 2, 1, 3, 3)) [(0, 'C'), ('+', 'D'), ('', 'E'), ('', 'F'), ('-', 'G'), ('-', 'A'), ('o', 'B')]
75 121 (18, (1, 1, 1, 2, 1, 3, 3)) [(0, 'C'), ('+', 'D'), ('x', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('', 'B')]
75 122 (18, (1, 1, 1, 2, 1, 3, 3)) [(0, 'C'), ('-', 'D'), ('', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('-', 'B')]
75 123 (18, (1, 1, 1, 2, 1, 3, 3)) [(0, 'C'), ('', 'D'), ('-', 'E'), ('+', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 124 (18, (1, 1, 1, 2, 1, 3, 3)) [(0, 'C'), ('-', 'D'), ('-', 'E'), ('-', 'F'), ('', 'G'), ('+', 'A'), ('', 'B')]
75 125 (18, (1, 1, 1, 2, 1, 3, 3)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('-', 'F'), ('o', 'G'), ('-', 'A'), ('', 'B')]
75 126 (19, (1, 1, 1, 2, 1, 4, 2)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('o', 'G'), ('*', 'A'), ('-', 'B')]
75 127 (19, (1, 1, 1, 2, 1, 4, 2)) [(0, 'C'), ('', 'D'), ('-', 'E'), ('-', 'F'), ('o', 'G'), ('o', 'A'), ('*', 'B')]
75 128 (19, (1, 1, 1, 2, 1, 4, 2)) [(0, 'C'), ('x', 'D'), ('x', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('', 'B')]
75 129 (19, (1, 1, 1, 2, 1, 4, 2)) [(0, 'C'), ('-', 'D'), ('+', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('-', 'B')]
75 130 (19, (1, 1, 1, 2, 1, 4, 2)) [(0, 'C'), ('', 'D'), ('-', 'E'), ('x', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 131 (19, (1, 1, 1, 2, 1, 4, 2)) [(0, 'C'), ('-', 'D'), ('-', 'E'), ('-', 'F'), ('+', 'G'), ('+', 'A'), ('', 'B')]
75 132 (19, (1, 1, 1, 2, 1, 4, 2)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('-', 'F'), ('o', 'G'), ('', 'A'), ('', 'B')]
75 133 (20, (1, 1, 1, 2, 2, 1, 4)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('o', 'G'), ('o', 'A'), ('*', 'B')]
75 134 (20, (1, 1, 1, 2, 2, 1, 4)) [(0, 'C'), ('x', 'D'), ('+', 'E'), ('+', 'F'), ('', 'G'), ('', 'A'), ('', 'B')]
75 135 (20, (1, 1, 1, 2, 2, 1, 4)) [(0, 'C'), ('-', 'D'), ('+', 'E'), ('+', 'F'), ('', 'G'), ('-', 'A'), ('-', 'B')]
75 136 (20, (1, 1, 1, 2, 2, 1, 4)) [(0, 'C'), ('', 'D'), ('-', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('-', 'B')]
75 137 (20, (1, 1, 1, 2, 2, 1, 4)) [(0, 'C'), ('', 'D'), ('', 'E'), ('', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 138 (20, (1, 1, 1, 2, 2, 1, 4)) [(0, 'C'), ('-', 'D'), ('-', 'E'), ('', 'F'), ('-', 'G'), ('+', 'A'), ('', 'B')]
75 139 (20, (1, 1, 1, 2, 2, 1, 4)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('-', 'F'), ('-', 'G'), ('o', 'A'), ('', 'B')]
75 140 (21, (1, 1, 1, 2, 2, 2, 3)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('o', 'G'), ('o', 'A'), ('o', 'B')]
75 141 (21, (1, 1, 1, 2, 2, 2, 3)) [(0, 'C'), ('+', 'D'), ('', 'E'), ('', 'F'), ('-', 'G'), ('-', 'A'), ('-', 'B')]
75 142 (21, (1, 1, 1, 2, 2, 2, 3)) [(0, 'C'), ('', 'D'), ('+', 'E'), ('+', 'F'), ('', 'G'), ('-', 'A'), ('-', 'B')]
75 143 (21, (1, 1, 1, 2, 2, 2, 3)) [(0, 'C'), ('', 'D'), ('', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('-', 'B')]
75 144 (21, (1, 1, 1, 2, 2, 2, 3)) [(0, 'C'), ('', 'D'), ('', 'E'), ('+', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
75 145 (21, (1, 1, 1, 2, 2, 2, 3)) [(0, 'C'), ('-', 'D'), ('-', 'E'), ('', 'F'), ('', 'G'), ('+', 'A'), ('', 'B')]
75 146 (21, (1, 1, 1, 2, 2, 2, 3)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('-', 'F'), ('-', 'G'), ('-', 'A'), ('', 'B')]
75 147 (22, (1, 1, 1, 2, 2, 3, 2)) [(0, 'C'), ('-', 'D'), ('o', 'E'), ('o', 'F'), ('o', 'G'), ('o', 'A'), ('-', 'B')]
75 148 (22, (1, 1, 1, 2, 2, 3, 2)) [(0, 'C'), ('', 'D'), ('-', 'E'), ('-', 'F'), ('o', 'G'), ('o', 'A'), ('o', 'B')]
75 149 (22, (1, 1, 1, 2, 2, 3, 2)) [(0, 'C'), ('+', 'D'), ('+', 'E'), ('+', 'F'), ('', 'G'), ('-', 'A'), ('-', 'B')]
75 150 (22, (1, 1, 1, 2, 2, 3, 2)) [(0, 'C'), ('', 'D'), ('+', 'E'), ('x', 'F'), ('+', 'G'), ('', 'A'), ('-', 'B')]
75 151 (22, (1, 1, 1, 2, 2, 3, 2)) [(0, 'C'), ('', 'D'), ('', 'E'), ('x', 'F'), ('x', 'G'), ('+', 'A'), ('', 'B')]
